Navigate,AccountAliasName,OrgnztnNumber,BusinessNatureCode,OrgnztnName,ISOCountryCode,ISOLanguageCode,OrgnztnStatusCode,OrgnztnClasscode,UplinePlatinumOrgnztnNumber,UplineSponsorOrgnztnNumber,HostUpdateDatetime,DeletedRowFlag,PaymentModeCode,UserTypeCode,FirstName,MiddleName,LastName,SuffixName,PreferredFirstName,BirthDate,EthnicityCode,GenderCode,MinorFlag,MaritalStatusCode,ChildrenQuantity,TaxFlag,PrimaryUserFlag,AuditCreateDatetime,AuditUpdateDatetime,AuditUserIdentifier
,,1234567,BusinessOwner,NAME  FIRST,BE,NL,ActiveStatus,AssociateIBOClassCode,7100,1000001,1/23/2013 12:16,FALSE,,Applicant1,FIRST,,NAME,,,1/1/1990 0:00,,Male,FALSE,,0,FALSE,TRUE,1/23/2013 6:14,1/23/2013 6:16,WEB01-QA\CMNQF24
,,5753988,BusinessOwner,AMWAY 5753988  ABO 5753988,BE,NL,ActiveStatus,AssociateIBOClassCode,7100,1000001,10/4/2012 20:17,FALSE,,Applicant1,ABO 5753988,,AMWAY 5753988,,,5/22/1975 0:00,,Female,FALSE,,0,FALSE,TRUE,10/4/2012 15:11,10/4/2012 15:11,WEB01-QA\CMNQF24
,,1009013,BusinessOwner,AMWAY 1009013  ABO 1009013,BE,NL,ActiveStatus,AssociateIBOClassCode,1008415,1008400,10/4/2012 20:10,FALSE,,Applicant1,ABO 1009013,,AMWAY 1009013,,,,,Male,FALSE,,0,FALSE,TRUE,10/4/2012 14:11,10/4/2012 14:11,WEB01-QA\CMNQF24
,,1009013,BusinessOwner,AMWAY 1009013  ABO 1009013,BE,NL,ActiveStatus,AssociateIBOClassCode,1008415,1008400,10/4/2012 20:10,FALSE,,Applicant2,ABO 1009013,,AMWAY 1009013,,,,,Female,FALSE,,0,FALSE,FALSE,10/4/2012 14:11,10/4/2012 14:11,WEB01-QA\CMNQF24
,,5769952,BusinessOwner,AMWAY 5769952  ABO 5769952,BE,NL,ActiveStatus,AssociateIBOClassCode,1008401,1008401,10/4/2012 20:12,FALSE,,Applicant1,ABO 5769952,,AMWAY 5769952,,,7/25/1966 0:00,,Male,FALSE,,0,FALSE,TRUE,10/4/2012 14:20,10/4/2012 14:20,WEB01-QA\CMNQF24
,,5769952,BusinessOwner,AMWAY 5769952  ABO 5769952,BE,NL,ActiveStatus,AssociateIBOClassCode,1008401,1008401,10/4/2012 20:12,FALSE,,Applicant2,ABO 5769952,,AMWAY 5769952,,,3/9/1979 0:00,,Female,FALSE,,0,FALSE,FALSE,10/4/2012 14:20,10/4/2012 14:20,WEB01-QA\CMNQF24
,,1011050,BusinessOwner,AMWAY 1011050  ABO 1011050,BE,FR,ActiveStatus,AssociateIBOClassCode,3002405,1008403,10/4/2012 20:10,FALSE,,Applicant1,ABO 1011050,,AMWAY 1011050,,,7/30/1951 0:00,,Female,FALSE,,0,FALSE,TRUE,10/4/2012 14:12,10/4/2012 14:12,WEB01-QA\CMNQF24
,,2266917,BusinessOwner,AMWAY 2266917  ABO 2266917,BE,FR,ActiveStatus,AssociateIBOClassCode,3002405,1008403,12/3/2012 21:37,FALSE,,Applicant1,ABO 2266917,,AMWAY 2266917,,,,,Male,FALSE,,0,FALSE,TRUE,10/4/2012 14:12,12/3/2012 15:37,WEB01-QA\CMNQF24
,,2266917,BusinessOwner,AMWAY 2266917  ABO 2266917,BE,FR,ActiveStatus,AssociateIBOClassCode,3002405,1008403,12/3/2012 21:37,FALSE,,Applicant2,ABO 2266917,,AMWAY 2266917,,,,,NotSpecified,FALSE,,0,FALSE,FALSE,10/4/2012 14:12,12/3/2012 15:37,WEB01-QA\CMNQF24
,,5755134,BusinessOwner,AMWAY 5755134  ABO 5755134,BE,FR,ActiveStatus,AssociateIBOClassCode,2951021,5838341,1/31/2013 18:42,FALSE,,Applicant1,ABO 5755134,,AMWAY 5755134,,,11/26/1972 0:00,,Male,FALSE,,0,FALSE,TRUE,1/31/2013 12:42,1/31/2013 12:42,WEB01-QA\CMNQF24
